ReviewID,Category,Review,Rating,Sentiment
1,Home,Very disappointed with the product.,2,Negative
2,Beauty,The product exceeded my expectations.,4,Positive
3,Electronics,Fast delivery and excellent packaging.,4,Positive
4,Beauty,Amazing product and worth the money.,4,Positive
5,Home,The product exceeded my expectations.,5,Positive
6,Home,Very satisfied with this purchase.,4,Positive
7,Home,The item arrived damaged.,2,Negative
8,Electronics,Very satisfied with this purchase.,4,Positive
9,Beauty,Very satisfied with this purchase.,5,Positive
10,Beauty,Excellent product and great quality.,5,Positive
11,Beauty,Fast delivery and excellent packaging.,4,Positive
12,Beauty,The product exceeded my expectations.,5,Positive
13,Home,Excellent product and great quality.,4,Positive
14,Electronics,Very disappointed with the product.,1,Negative
15,Home,Fast delivery and excellent packaging.,5,Positive
16,Electronics,Amazing product and worth the money.,5,Positive
17,Home,Poor quality and not worth the money.,1,Negative
18,Fashion,Very satisfied with this purchase.,4,Positive
19,Home,The product is average.,3,Neutral
20,Books,Delivery was on time.,3,Neutral
21,Home,Amazing product and worth the money.,5,Positive
22,Home,Bad experience and slow delivery.,2,Negative
23,Beauty,Amazing product and worth the money.,5,Positive
24,Fashion,Highly recommended for everyone.,5,Positive
25,Electronics,Amazing product and worth the money.,5,Positive
26,Home,Very disappointed with the product.,1,Negative
27,Books,Bad experience and slow delivery.,1,Negative
28,Beauty,Fast delivery and excellent packaging.,5,Positive
29,Electronics,The product is average.,3,Neutral
30,Fashion,The product stopped working quickly.,2,Negative
31,Books,Fast delivery and excellent packaging.,4,Positive
32,Beauty,The product exceeded my expectations.,5,Positive
33,Fashion,The product stopped working quickly.,1,Negative
34,Beauty,Average performance overall.,3,Neutral
35,Beauty,Very satisfied with this purchase.,4,Positive
36,Electronics,Average performance overall.,3,Neutral
37,Electronics,Fast delivery and excellent packaging.,4,Positive
38,Home,Delivery was on time.,3,Neutral
39,Electronics,Highly recommended for everyone.,4,Positive
40,Home,Very disappointed with the product.,1,Negative
41,Fashion,The product stopped working quickly.,1,Negative
42,Home,Highly recommended for everyone.,5,Positive
43,Home,The experience was neither good nor bad.,3,Neutral
44,Books,Bad experience and slow delivery.,2,Negative
45,Electronics,The quality is acceptable.,3,Neutral
46,Electronics,Excellent product and great quality.,5,Positive
47,Electronics,Amazing product and worth the money.,4,Positive
48,Home,The product exceeded my expectations.,4,Positive
49,Electronics,Excellent product and great quality.,5,Positive
50,Home,Very satisfied with this purchase.,5,Positive
51,Home,The product exceeded my expectations.,5,Positive
52,Electronics,Bad experience and slow delivery.,1,Negative
53,Books,Fast delivery and excellent packaging.,5,Positive
54,Electronics,The product exceeded my expectations.,4,Positive
55,Electronics,The product exceeded my expectations.,5,Positive
